ticket_id,created_at,updated_at,severity,status,attack_pattern,affected_assets,affected_users,tactic_chain,technique_chain,initial_alert_id,total_alerts_correlated,analyst_assigned,containment_action,financial_impact_npr,is_confirmed_attack,resolution_notes,mitre_navigator_link
INC-20250101-4509,2025-01-01 01:23:22.113,2025-01-03 05:23:22.747,high,contained,InsiderDataGrab,WS-PKR-019|WS-KTM-038|WS-KTM-005,,TA0006|TA0009|TA0010,T1078|T1213|T1048,IDS-20260104-2ECEE603,30,analyst_07,endpoint_quarantine,0,True,DNS tunneling payload decoded. C2 domain sinkholed. Host reimaged.,https://attack.mitre.org/techniques/T1078/
INC-20250101-2454,2025-01-01 01:57:39.263,2025-01-03 08:57:39.333,medium,investigating,WebApp_SQLi,ATM-PKR-003|WS-KTM-015|WS-PKR-013|SWIFT-GW-01,user_9911|user_7357|user_3279,TA0001|TA0006,T1190|T1555,IDS-20251227-E9D0DF5D,23,analyst_06,endpoint_quarantine,0,True,,https://attack.mitre.org/techniques/T1190/
INC-20250101-0815,2025-01-01 04:00:08.826,2025-01-03 11:00:08.498,critical,resolved,ATM_Jackpotting,SWIFT-GW-02|ATM-KTM-008|WS-KTM-026,user_3026,TA0001|TA0002|TA0040,T1195|T1059.003|T1496,IDS-20251210-8CC42299,26,analyst_05,none,0,True,Brute force source blocked at perimeter. No successful authentication observed. Account lockout policy confirmed active.,https://attack.mitre.org/techniques/T1195/
INC-20250101-2131,2025-01-01 04:10:24.051,2025-01-02 11:10:24.172,critical,resolved,Ransomware_Staging,WS-KTM-028|WS-KTM-053,user_8000,TA0001|TA0002|TA0008|TA0040,T1566.002|T1059.001|T1021.002|T1486,IDS-20250705-30821255,21,analyst_01,none,0,True,False positive confirmed — traffic matches scheduled backup job pattern. Rule tuned to exclude backup subnet.,https://attack.mitre.org/techniques/T1566/002/
INC-20250101-2141,2025-01-01 08:50:07.156,2025-01-04 05:50:07.147,high,resolved,LateralSpread,WS-KTM-027,user_5884|user_1381,TA0006|TA0008|TA0007,T1110.001|T1021.002|T1046,IDS-20260217-48E85A12,74,analyst_01,account_disable,0,True,SWIFT transaction logs reviewed. No fraudulent transfers confirmed. SWIFT gateway access audit initiated per NRB directive.,https://attack.mitre.org/techniques/T1110/001/
INC-20250101-0084,2025-01-01 08:59:42.243,2025-01-02 19:59:42.514,high,investigating,InsiderDataGrab,WS-KTM-025|ATM-KTM-007|WS-PKR-015,user_6516|user_4469,TA0006|TA0009|TA0010,T1078|T1213|T1048,IDS-20251127-D0A7DB34,26,analyst_04,endpoint_quarantine,2359438,True,,https://attack.mitre.org/techniques/T1078/
INC-20250101-4581,2025-01-01 10:36:31.670,2025-01-02 09:36:31.502,high,open,LateralSpread,ATM-PKR-001|SRV-FILE-01|WS-KTM-008|ATM-KTM-009,user_6405,TA0006|TA0008|TA0007,T1110.001|T1021.002|T1046,IDS-20250712-E10FA7C3,15,analyst_06,account_disable,0,True,,https://attack.mitre.org/techniques/T1110/001/
INC-20250101-1732,2025-01-01 13:22:07.890,2025-01-02 03:22:07.243,critical,resolved,ATM_Jackpotting,ATM-PKR-001|WS-PKR-007|WS-KTM-001|WS-KTM-036,,TA0001|TA0002|TA0040,T1195|T1059.003|T1496,IDS-20250802-139AF5D2,79,analyst_03,firewall_block,0,True,Ransomware binary quarantined before detonation. Restored from backup. Patched EternalBlue vulnerability on affected hosts.,https://attack.mitre.org/techniques/T1195/
INC-20250101-1885,2025-01-01 18:40:21.277,2025-01-03 15:40:21.600,medium,resolved,BruteForce_SSH,WS-KTM-020|WS-KTM-052|WS-KTM-015,,TA0006|TA0001,T1110.001|T1078,IDS-20250302-D64952E4,19,analyst_04,network_isolation,0,True,False positive confirmed — traffic matches scheduled backup job pattern. Rule tuned to exclude backup subnet.,https://attack.mitre.org/techniques/T1110/001/
INC-20250101-2289,2025-01-01 20:00:20.153,2025-01-03 07:00:20.524,high,investigating,DataExfil_HTTPS,SRV-SQL-02,user_3124|user_5434|user_1324,TA0009|TA0010,T1213|T1048.002,IDS-20250802-EDC4EE2F,74,analyst_01,endpoint_quarantine,2988051,True,,https://attack.mitre.org/techniques/T1213/
